source,eligible_reporters,verified_reporters,strong_reporters,likely_reporters,unmatched_reporters,unknown_tier_reporters,unverified_reporters,likely_backlog,verified_target_70pct,verified_shortfall,strategy_id,workflow,command_template
Doctors Without Borders,3,0,0,3,0,0,3,3,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Doctors Without Borders' --target-promotions 3 --max-articles-per-reporter 3
Dominican Today,3,0,0,3,0,0,3,3,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Dominican Today' --target-promotions 3 --max-articles-per-reporter 3
EconomyNext,3,0,0,3,0,0,3,3,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'EconomyNext' --target-promotions 3 --max-articles-per-reporter 3
Eye Radio,3,0,0,3,0,0,3,3,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Eye Radio' --target-promotions 3 --max-articles-per-reporter 3
Gaza Post,3,0,0,3,0,0,3,3,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Gaza Post' --target-promotions 3 --max-articles-per-reporter 3
Resistant Palestinian Pens,3,0,0,3,0,0,3,3,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Resistant Palestinian Pens' --target-promotions 3 --max-articles-per-reporter 3
Total Croatia News,3,0,0,3,0,0,3,3,3,3,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Total Croatia News' --target-promotions 3 --max-articles-per-reporter 3
Matangi Tonga,2,0,0,2,0,0,2,2,2,2,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Matangi Tonga' --target-promotions 2 --max-articles-per-reporter 3
Monthly Review,2,0,0,2,0,0,2,2,2,2,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Monthly Review' --target-promotions 2 --max-articles-per-reporter 3
NepalNews,2,0,0,2,0,0,2,2,2,2,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'NepalNews' --target-promotions 2 --max-articles-per-reporter 3
Reuters,2,0,0,2,0,0,2,2,2,2,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Reuters' --target-promotions 2 --max-articles-per-reporter 3
The Atlantic - National,2,0,0,2,0,0,2,2,2,2,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Atlantic - National' --target-promotions 2 --max-articles-per-reporter 3
The Bulletin,2,0,0,2,0,0,2,2,2,2,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Bulletin' --target-promotions 2 --max-articles-per-reporter 3
Eyewitness News Bahamas,4,2,0,2,0,0,2,2,3,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Eyewitness News Bahamas' --target-promotions 1 --max-articles-per-reporter 3
Notes from Poland,4,2,0,2,0,0,2,2,3,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Notes from Poland' --target-promotions 1 --max-articles-per-reporter 3
Antigua Observer,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Antigua Observer' --target-promotions 1 --max-articles-per-reporter 3
Breaking Belize News,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Breaking Belize News' --target-promotions 1 --max-articles-per-reporter 3
Cocorioko,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Cocorioko' --target-promotions 1 --max-articles-per-reporter 3
Colombia Reports,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Colombia Reports' --target-promotions 1 --max-articles-per-reporter 3
Common Dreams,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Common Dreams' --target-promotions 1 --max-articles-per-reporter 3
Dabanga,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Dabanga' --target-promotions 1 --max-articles-per-reporter 3
Kaieteur News,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Kaieteur News' --target-promotions 1 --max-articles-per-reporter 3
Khmer Times,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Khmer Times' --target-promotions 1 --max-articles-per-reporter 3
Myanmar Now,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Myanmar Now' --target-promotions 1 --max-articles-per-reporter 3
NOW Grenada,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'NOW Grenada' --target-promotions 1 --max-articles-per-reporter 3
Nyasa Times,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Nyasa Times' --target-promotions 1 --max-articles-per-reporter 3
Palestine News Network,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Palestine News Network' --target-promotions 1 --max-articles-per-reporter 3
RUV English,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'RUV English' --target-promotions 1 --max-articles-per-reporter 3
The Punch,1,0,0,1,0,0,1,1,1,1,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Punch' --target-promotions 1 --max-articles-per-reporter 3
Amandala,1,1,0,0,0,0,0,0,1,0,guessed_author_page_profiles,Use bounded same-host author-page guesses after article metadata fails. Guesses still require a fetched profile-name match before promotion.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Amandala' --target-promotions 1 --max-articles-per-reporter 3 --include-guessed-author-pages --max-guessed-author-pages 10
Libya Herald,1,1,0,0,0,0,0,0,1,0,guessed_author_page_profiles,Use bounded same-host author-page guesses after article metadata fails. Guesses still require a fetched profile-name match before promotion.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Libya Herald' --target-promotions 1 --max-articles-per-reporter 3 --include-guessed-author-pages --max-guessed-author-pages 10
